0	-71	-71	-71
1	-68.56	-49	-71
2	-61.72	-19	-71
3	-54.12	-19	-67
4	-44.76	-8	-63
5	-33.28	-8	-57
6	-20	-8	-29
7	-15.68	-5	-23
8	-11.52	-1	-18
9	-7.4	-1	-13
10	-5	0	-8
11	-2.92	0	-6
12	-1.48	4	-3
13	-1	4	-2
14	-0.12	4	-2
15	1.04	4	-1
16	2.52	4	0
17	4.28	8	1
18	4.96	12	4
19	6.24	12	4
20	8.16	16	4
21	9.92	28	8
22	11.52	28	8
23	15.68	28	8
24	20.96	40	12
25	25.76	40	16
26	30.24	40	24
27	32.96	52	28
28	36.48	52	32
29	40.16	52	32
30	44.48	56	36
31	51.04	76	40
32	57.6	104	48
33	66.88	104	52
34	76	124	52
35	86.88	124	68
36	97.28	136	76
37	112.48	192	92
38	128.64	192	100
39	139.2	192	108
40	167.04	284	124
41	181.92	284	136
42	217.28	384	164
43	264.16	532	180
44	318.88	532	240
45	355.04	532	268
46	456.8	892	300
47	580.96	892	348
48	679.04	956	504
49	744.8	956	620
50	834.56	1392	656
